Site,PlantSpeciesAnal
BUB,Baccaurea_ramiflora
BUB,Cleidion_brevipetiolatum
BUB,Diospyros_kaki
BUB,Garcinia_cowa
BUB,Orophea_laui
BUB,Pittosporopsis_kerrii
BUB,Saprosma_ternata
BUB,Shorea_wangtianshuea
DRO,Argyrodendron_peralatum
DRO,Cleistanthus_myrianthus
DRO,Cryptocarya_sp.
DRO,Dysoxylum_arborescens
DRO,Endiandra_leptodendron
DRO,Haplostichanthus_ramiflorus
DRO,Myristica_globosa
DRO,Rockinghamia_angustifolia
DRO,Syzygium_graveolens
EUC,Acacia_parramattensis
EUC,Breynia_oblingifolia
EUC,Bursaria_spinosa
EUC,Eucalyptus_pruinosa
EUC,Eucalyptus_tereticornis
KAK,Celtis_latifolia
KAK,Chrysophyllum_roxburghii
KAK,Dysoxylum_arborescens
KAK,Erythrospermum_candidum
KAK,Ficus_erythrosperma
KAK,Gymnacranthera_paniculata
KAK,Pimelodendron_amboinicum
KAK,Pometia_pinnata
LAK,Acer_platanoides
LAK,Acer_pseudoplatanus
LAK,Carpinus_betulus
LAK,Fraxinus_excelsior
LAK,Quercus_robur
LAK,Tilia_cordata
LAK,Ulmus_glabra
TOM,Acer_mono
TOM,Acer_palmatum
TOM,Betula_maximowicziana
TOM,Carpinus_cordata
TOM,Fraxinus_lanuginosa
TOM,Magnolia_kobus
TOM,Prunus_ssiori
TOM,Syringa_reticulata
