Species,Experiment,Patrol,SpeciesAnal,Site,TwigCodeNoPatrol,TwigArea_sum,TwigHerbivory_sum,TwigHerbProp,StartEndDiff,SaplingCodeNoPatrol,SaplingCodeUnique,TwigCodeUnique
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_1CN1_Blue,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_1CN1,BUB_Baccaurea_ramiflora_1CN1_A,BUB_Baccaurea_ramiflora_1CN1_Blue_A
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_1CN1_Blue,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_1CN1,BUB_Baccaurea_ramiflora_1CN1_B,BUB_Baccaurea_ramiflora_1CN1_Blue_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_1CN1_Blue,462.53319,5.09981,0.011025825,NA,BUB_Baccaurea_ramiflora_1CN1,BUB_Baccaurea_ramiflora_1CN1_C,BUB_Baccaurea_ramiflora_1CN1_Blue_C
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_1CN1_Blue,297.60191,15.50349,0.052094726,0.041068901,BUB_Baccaurea_ramiflora_1CN1,BUB_Baccaurea_ramiflora_1CN1_D,BUB_Baccaurea_ramiflora_1CN1_Blue_D
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_1CN1_Red,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_1CN1,BUB_Baccaurea_ramiflora_1CN1_A,BUB_Baccaurea_ramiflora_1CN1_Red_A
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_1CN1_Red,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_1CN1,BUB_Baccaurea_ramiflora_1CN1_B,BUB_Baccaurea_ramiflora_1CN1_Red_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_1CN1_Red,618.31602,4.48198,0.007248688,NA,BUB_Baccaurea_ramiflora_1CN1,BUB_Baccaurea_ramiflora_1CN1_C,BUB_Baccaurea_ramiflora_1CN1_Red_C
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_1CN1_Red,847.22547,52.28093,0.061708402,0.054459714,BUB_Baccaurea_ramiflora_1CN1,BUB_Baccaurea_ramiflora_1CN1_D,BUB_Baccaurea_ramiflora_1CN1_Red_D
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_1CN1_White,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_1CN1,BUB_Baccaurea_ramiflora_1CN1_A,BUB_Baccaurea_ramiflora_1CN1_White_A
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_1CN1_White,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_1CN1,BUB_Baccaurea_ramiflora_1CN1_B,BUB_Baccaurea_ramiflora_1CN1_White_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_1CN1_White,355.46523,5.87477,0.016526989,NA,BUB_Baccaurea_ramiflora_1CN1,BUB_Baccaurea_ramiflora_1CN1_C,BUB_Baccaurea_ramiflora_1CN1_White_C
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_1CN1_White,384.44325,23.79077,0.061883698,0.045356709,BUB_Baccaurea_ramiflora_1CN1,BUB_Baccaurea_ramiflora_1CN1_D,BUB_Baccaurea_ramiflora_1CN1_White_D
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_2CN1_Blue,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_2CN1,BUB_Baccaurea_ramiflora_2CN1_A,BUB_Baccaurea_ramiflora_2CN1_Blue_A
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_2CN1_Blue,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_2CN1,BUB_Baccaurea_ramiflora_2CN1_B,BUB_Baccaurea_ramiflora_2CN1_Blue_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_2CN1_Blue,310.85158,2.12442,0.006834194,NA,BUB_Baccaurea_ramiflora_2CN1,BUB_Baccaurea_ramiflora_2CN1_C,BUB_Baccaurea_ramiflora_2CN1_Blue_C
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_2CN1_Blue,213.62132,14.80946,0.069325758,0.062491564,BUB_Baccaurea_ramiflora_2CN1,BUB_Baccaurea_ramiflora_2CN1_D,BUB_Baccaurea_ramiflora_2CN1_Blue_D
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_2CN1_Red,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_2CN1,BUB_Baccaurea_ramiflora_2CN1_A,BUB_Baccaurea_ramiflora_2CN1_Red_A
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_2CN1_Red,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_2CN1,BUB_Baccaurea_ramiflora_2CN1_B,BUB_Baccaurea_ramiflora_2CN1_Red_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_2CN1_Red,398.88233,4.48167,0.011235569,NA,BUB_Baccaurea_ramiflora_2CN1,BUB_Baccaurea_ramiflora_2CN1_C,BUB_Baccaurea_ramiflora_2CN1_Red_C
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_2CN1_Red,281.9775,22.0596,0.078231774,0.066996205,BUB_Baccaurea_ramiflora_2CN1,BUB_Baccaurea_ramiflora_2CN1_D,BUB_Baccaurea_ramiflora_2CN1_Red_D
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_2CN1_White,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_2CN1,BUB_Baccaurea_ramiflora_2CN1_A,BUB_Baccaurea_ramiflora_2CN1_White_A
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_2CN1_White,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_2CN1,BUB_Baccaurea_ramiflora_2CN1_B,BUB_Baccaurea_ramiflora_2CN1_White_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_2CN1_White,226.57333,10.26926,0.045324222,NA,BUB_Baccaurea_ramiflora_2CN1,BUB_Baccaurea_ramiflora_2CN1_C,BUB_Baccaurea_ramiflora_2CN1_White_C
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_2CN1_White,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_2CN1,BUB_Baccaurea_ramiflora_2CN1_D,BUB_Baccaurea_ramiflora_2CN1_White_D
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_3CN1_Blue,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_3CN1,BUB_Baccaurea_ramiflora_3CN1_A,BUB_Baccaurea_ramiflora_3CN1_Blue_A
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_3CN1_Blue,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_3CN1,BUB_Baccaurea_ramiflora_3CN1_B,BUB_Baccaurea_ramiflora_3CN1_Blue_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_3CN1_Blue,375.16655,7.88125,0.021007337,NA,BUB_Baccaurea_ramiflora_3CN1,BUB_Baccaurea_ramiflora_3CN1_C,BUB_Baccaurea_ramiflora_3CN1_Blue_C
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_3CN1_Blue,440.76658,29.8604,0.067746516,0.046739179,BUB_Baccaurea_ramiflora_3CN1,BUB_Baccaurea_ramiflora_3CN1_D,BUB_Baccaurea_ramiflora_3CN1_Blue_D
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_3CN1_Red,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_3CN1,BUB_Baccaurea_ramiflora_3CN1_A,BUB_Baccaurea_ramiflora_3CN1_Red_A
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_3CN1_Red,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_3CN1,BUB_Baccaurea_ramiflora_3CN1_B,BUB_Baccaurea_ramiflora_3CN1_Red_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_3CN1_Red,576.45682,2.95218,0.005121251,NA,BUB_Baccaurea_ramiflora_3CN1,BUB_Baccaurea_ramiflora_3CN1_C,BUB_Baccaurea_ramiflora_3CN1_Red_C
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_3CN1_Red,445.85528,17.80758,0.039940269,0.034819018,BUB_Baccaurea_ramiflora_3CN1,BUB_Baccaurea_ramiflora_3CN1_D,BUB_Baccaurea_ramiflora_3CN1_Red_D
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_3CN1_White,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_3CN1,BUB_Baccaurea_ramiflora_3CN1_A,BUB_Baccaurea_ramiflora_3CN1_White_A
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_3CN1_White,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_3CN1,BUB_Baccaurea_ramiflora_3CN1_B,BUB_Baccaurea_ramiflora_3CN1_White_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_3CN1_White,501.65239,2.82161,0.005624632,NA,BUB_Baccaurea_ramiflora_3CN1,BUB_Baccaurea_ramiflora_3CN1_C,BUB_Baccaurea_ramiflora_3CN1_White_C
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_3CN1_White,633.79948,26.81863,0.042314061,0.036689429,BUB_Baccaurea_ramiflora_3CN1,BUB_Baccaurea_ramiflora_3CN1_D,BUB_Baccaurea_ramiflora_3CN1_White_D
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_Blue,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_4CN1,BUB_Baccaurea_ramiflora_4CN1_A,BUB_Baccaurea_ramiflora_4CN1_Blue_A
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_Blue,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_4CN1,BUB_Baccaurea_ramiflora_4CN1_B,BUB_Baccaurea_ramiflora_4CN1_Blue_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_Blue,339.54392,1.69908,0.005004007,NA,BUB_Baccaurea_ramiflora_4CN1,BUB_Baccaurea_ramiflora_4CN1_C,BUB_Baccaurea_ramiflora_4CN1_Blue_C
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_Blue,796.65683,39.44838,0.049517406,0.044513399,BUB_Baccaurea_ramiflora_4CN1,BUB_Baccaurea_ramiflora_4CN1_D,BUB_Baccaurea_ramiflora_4CN1_Blue_D
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_Red,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_4CN1,BUB_Baccaurea_ramiflora_4CN1_A,BUB_Baccaurea_ramiflora_4CN1_Red_A
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_Red,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_4CN1,BUB_Baccaurea_ramiflora_4CN1_B,BUB_Baccaurea_ramiflora_4CN1_Red_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_Red,760.06108,5.41992,0.007130901,NA,BUB_Baccaurea_ramiflora_4CN1,BUB_Baccaurea_ramiflora_4CN1_C,BUB_Baccaurea_ramiflora_4CN1_Red_C
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_Red,585.23785,35.49726,0.060654416,0.053523515,,BUB_Baccaurea_ramiflora_4CN1_D,BUB_Baccaurea_ramiflora_4CN1_Red_D
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_White,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_4CN1,BUB_Baccaurea_ramiflora_4CN1_A,BUB_Baccaurea_ramiflora_4CN1_White_A
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_White,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_4CN1,BUB_Baccaurea_ramiflora_4CN1_B,BUB_Baccaurea_ramiflora_4CN1_White_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_White,482.27073,2.24127,0.004647327,NA,BUB_Baccaurea_ramiflora_4CN1,BUB_Baccaurea_ramiflora_4CN1_C,BUB_Baccaurea_ramiflora_4CN1_White_C
