Species,SpeciesAnal,Site,TwigCodeNoPatrol,BranchCodeNoPatrol,Patrol,TwigArea_sum,TwigHerbivory_sum,TwigHerbProp,StartEndDiff,TwigCodeUnique,SaplingCodeUnique
SP1,Pometia_pinnata,KAK,KAK_Pometia_pinnata_3CN2_Blue,KAK_Pometia_pinnata_3CN2,B,1288.11377,97.65531,0.075812643,0.068550391,KAK_Pometia_pinnata_3CN2_Blue_B,KAK_Pometia_pinnata_3CN2_B
SP1,Cryptocarya_sp. ,DRO,DRO_Cryptocarya_sp. _3CN2_White,DRO_Cryptocarya_sp. _3CN2,D,341.425,6.927,0.020288497,0.061435811,DRO_Cryptocarya_sp. _3CN2_White_D,DRO_Cryptocarya_sp. _3CN2_D
SP3,Eucalyptus_tereticornis,EUC,EUC_Eucalyptus_tereticornis_3CN2_Blue,EUC_Eucalyptus_tereticornis_3CN2,B,138.657,53.72529,0.387469006,0.057377891,EUC_Eucalyptus_tereticornis_3CN2_Blue_B,EUC_Eucalyptus_tereticornis_3CN2_B
SP4,Haplostichanthus_ramiflorus,DRO,DRO_Haplostichanthus_ramiflorus_3CN2_Red,DRO_Haplostichanthus_ramiflorus_3CN2,B,111.88818,1.40967,0.012598918,0.05548125,DRO_Haplostichanthus_ramiflorus_3CN2_Red_B,DRO_Haplostichanthus_ramiflorus_3CN2_B
SP1,Pometia_pinnata,KAK,KAK_Pometia_pinnata_2CN2_Blue,KAK_Pometia_pinnata_2CN2,B,907.16974,113.51568,0.125131687,0.055455016,KAK_Pometia_pinnata_2CN2_Blue_B,KAK_Pometia_pinnata_2CN2_B
SP5,Myristica_globosa,DRO,DRO_Myristica_globosa_1CN2_White,DRO_Myristica_globosa_1CN2,B,932.20497,12.26844,0.013160668,0.054198374,DRO_Myristica_globosa_1CN2_White_B,DRO_Myristica_globosa_1CN2_B
SP5,Myristica_globosa,DRO,DRO_Myristica_globosa_4CN2_White,DRO_Myristica_globosa_4CN2,B,947.57399,12.30767,0.012988611,0.04990634,DRO_Myristica_globosa_4CN2_White_B,DRO_Myristica_globosa_4CN2_B
SP6,Rockinghamia_angustifolia,DRO,DRO_Rockinghamia_angustifolia_1CN2_Blue,DRO_Rockinghamia_angustifolia_1CN2,B,980.25182,18.67751,0.019053788,0.047705451,DRO_Rockinghamia_angustifolia_1CN2_Blue_B,DRO_Rockinghamia_angustifolia_1CN2_B
SP1,Pometia_pinnata,KAK,KAK_Pometia_pinnata_4CN2_White,KAK_Pometia_pinnata_4CN2,B,1207.63504,89.64428,0.074231268,0.047065363,KAK_Pometia_pinnata_4CN2_White_B,KAK_Pometia_pinnata_4CN2_B
SP1,Cryptocarya_sp. ,DRO,DRO_Cryptocarya_sp. _3CN2_Red,DRO_Cryptocarya_sp. _3CN2,D,327.865,6.479,0.019761182,0.046474626,DRO_Cryptocarya_sp. _3CN2_Red_D,DRO_Cryptocarya_sp. _3CN2_D
