Site,Patrol,Experiment,SpeciesAnal,Species,Twig,TwigCodeUnique,TwigArea_sum,TwigHerbivory_sum,HerbProp
LAK,A,4MO,Acer_platanoides,SP4,Blue,Acer_platanoides_1CN2_A_Blue,840.5651799999999,0,0
LAK,A,4MO,Acer_platanoides,SP4,Blue,Acer_platanoides_2CN2_A_Blue,748.62153,1.79974,0.0024040719213619197
LAK,A,4MO,Acer_platanoides,SP4,Blue,Acer_platanoides_3CN2_A_Blue,565.13103,0,0
LAK,A,4MO,Acer_platanoides,SP4,Blue,Acer_platanoides_4CN2_A_Blue,315.35634,0.22892,7.259089828351002e-4
LAK,A,4MO,Acer_platanoides,SP4,Blue,Acer_platanoides_5CN2_A_Blue,713.51963,0,0
LAK,A,4MO,Acer_platanoides,SP4,Red,Acer_platanoides_1CN2_A_Red,582.36172,0.07019,1.2052646592224503e-4
LAK,A,4MO,Acer_platanoides,SP4,Red,Acer_platanoides_2CN2_A_Red,912.058,0,0
LAK,A,4MO,Acer_platanoides,SP4,Red,Acer_platanoides_3CN2_A_Red,1146.18098,1.12584,9.822532563749224e-4
LAK,A,4MO,Acer_platanoides,SP4,Red,Acer_platanoides_4CN2_A_Red,703.81418,0,0
LAK,A,4MO,Acer_platanoides,SP4,Red,Acer_platanoides_5CN2_A_Red,710.51729,0,0
LAK,A,4MO,Acer_platanoides,SP4,White,Acer_platanoides_1CN2_A_White,1272.6045,0,0
LAK,A,4MO,Acer_platanoides,SP4,White,Acer_platanoides_2CN2_A_White,940.9193,0.03467,3.6846943196935166e-5
LAK,A,4MO,Acer_platanoides,SP4,White,Acer_platanoides_3CN2_A_White,1164.96666,0.29833,2.5608458185404206e-4
LAK,A,4MO,Acer_platanoides,SP4,White,Acer_platanoides_4CN2_A_White,352.86164,0,0
LAK,A,4MO,Acer_platanoides,SP4,White,Acer_platanoides_5CN2_A_White,1072.69454,2.29851,0.002142744196311468
LAK,A,4MO,Acer_pseudoplatanus,SP2,Blue,Acer_pseudoplatanus_1CN2_A_Blue,431.67177,0,0
LAK,A,4MO,Acer_pseudoplatanus,SP2,Blue,Acer_pseudoplatanus_2CN2_A_Blue,601.68707,0,0
LAK,A,4MO,Acer_pseudoplatanus,SP2,Blue,Acer_pseudoplatanus_3CN2_A_Blue,676.95361,0,0
LAK,A,4MO,Acer_pseudoplatanus,SP2,Blue,Acer_pseudoplatanus_4CN2_A_Blue,1270.11908,0,0
LAK,A,4MO,Acer_pseudoplatanus,SP2,Blue,Acer_pseudoplatanus_5CN2_A_Blue,1197.66405,0,0
LAK,A,4MO,Acer_pseudoplatanus,SP2,Red,Acer_pseudoplatanus_1CN2_A_Red,779.16987,0,0
