Site,Patrol,Experiment,SpeciesAnal,Species,Twig,TwigCodeUnique,TwigArea_sum,TwigHerbivory_sum,HerbProp,Treatment,TwigCodeNoPatrol
LAK,A,4MO,Acer_platanoides,SP4,Blue,Acer_platanoides_1CN2_A_Blue,840.56518,0,0,1CN2,LAK_Acer_platanoides_1CN2_Blue
LAK,A,4MO,Acer_platanoides,SP4,Blue,Acer_platanoides_2CN2_A_Blue,748.62153,1.79974,0.002404072,2CN2,LAK_Acer_platanoides_2CN2_Blue
LAK,A,4MO,Acer_platanoides,SP4,Blue,Acer_platanoides_3CN2_A_Blue,565.13103,0,0,3CN2,LAK_Acer_platanoides_3CN2_Blue
LAK,A,4MO,Acer_platanoides,SP4,Blue,Acer_platanoides_4CN2_A_Blue,315.35634,0.22892,7.26E-04,4CN2,LAK_Acer_platanoides_4CN2_Blue
LAK,A,4MO,Acer_platanoides,SP4,Blue,Acer_platanoides_5CN2_A_Blue,713.51963,0,0,5CN2,LAK_Acer_platanoides_5CN2_Blue
LAK,A,4MO,Acer_platanoides,SP4,Red,Acer_platanoides_1CN2_A_Red,582.36172,0.07019,1.21E-04,1CN2,LAK_Acer_platanoides_1CN2_Red
LAK,A,4MO,Acer_platanoides,SP4,Red,Acer_platanoides_2CN2_A_Red,912.058,0,0,2CN2,LAK_Acer_platanoides_2CN2_Red
LAK,A,4MO,Acer_platanoides,SP4,Red,Acer_platanoides_3CN2_A_Red,1146.18098,1.12584,9.82E-04,3CN2,LAK_Acer_platanoides_3CN2_Red
LAK,A,4MO,Acer_platanoides,SP4,Red,Acer_platanoides_4CN2_A_Red,703.81418,0,0,4CN2,LAK_Acer_platanoides_4CN2_Red
LAK,A,4MO,Acer_platanoides,SP4,Red,Acer_platanoides_5CN2_A_Red,710.51729,0,0,5CN2,LAK_Acer_platanoides_5CN2_Red
LAK,A,4MO,Acer_platanoides,SP4,White,Acer_platanoides_1CN2_A_White,1272.6045,0,0,1CN2,LAK_Acer_platanoides_1CN2_White
LAK,A,4MO,Acer_platanoides,SP4,White,Acer_platanoides_2CN2_A_White,940.9193,0.03467,3.68E-05,2CN2,LAK_Acer_platanoides_2CN2_White
LAK,A,4MO,Acer_platanoides,SP4,White,Acer_platanoides_3CN2_A_White,1164.96666,0.29833,2.56E-04,3CN2,LAK_Acer_platanoides_3CN2_White
LAK,A,4MO,Acer_platanoides,SP4,White,Acer_platanoides_4CN2_A_White,352.86164,0,0,4CN2,LAK_Acer_platanoides_4CN2_White
LAK,A,4MO,Acer_platanoides,SP4,White,Acer_platanoides_5CN2_A_White,1072.69454,2.29851,0.002142744,5CN2,LAK_Acer_platanoides_5CN2_White
LAK,A,4MO,Acer_pseudoplatanus,SP2,Blue,Acer_pseudoplatanus_1CN2_A_Blue,431.67177,0,0,1CN2,LAK_Acer_pseudoplatanus_1CN2_Blue
LAK,A,4MO,Acer_pseudoplatanus,SP2,Blue,Acer_pseudoplatanus_2CN2_A_Blue,601.68707,0,0,2CN2,LAK_Acer_pseudoplatanus_2CN2_Blue
LAK,A,4MO,Acer_pseudoplatanus,SP2,Blue,Acer_pseudoplatanus_3CN2_A_Blue,676.95361,0,0,3CN2,LAK_Acer_pseudoplatanus_3CN2_Blue
LAK,A,4MO,Acer_pseudoplatanus,SP2,Blue,Acer_pseudoplatanus_4CN2_A_Blue,1270.11908,0,0,4CN2,LAK_Acer_pseudoplatanus_4CN2_Blue
LAK,A,4MO,Acer_pseudoplatanus,SP2,Blue,Acer_pseudoplatanus_5CN2_A_Blue,1197.66405,0,0,5CN2,LAK_Acer_pseudoplatanus_5CN2_Blue
LAK,A,4MO,Acer_pseudoplatanus,SP2,Red,Acer_pseudoplatanus_1CN2_A_Red,779.16987,0,0,1CN2,LAK_Acer_pseudoplatanus_1CN2_Red
LAK,A,4MO,Acer_pseudoplatanus,SP2,Red,Acer_pseudoplatanus_2CN2_A_Red,742.45423,0,0,2CN2,LAK_Acer_pseudoplatanus_2CN2_Red
LAK,A,4MO,Acer_pseudoplatanus,SP2,Red,Acer_pseudoplatanus_3CN2_A_Red,763.33887,0.73858,9.68E-04,3CN2,LAK_Acer_pseudoplatanus_3CN2_Red
LAK,A,4MO,Acer_pseudoplatanus,SP2,Red,Acer_pseudoplatanus_4CN2_A_Red,1405.92774,0,0,4CN2,LAK_Acer_pseudoplatanus_4CN2_Red
LAK,A,4MO,Acer_pseudoplatanus,SP2,Red,Acer_pseudoplatanus_5CN2_A_Red,1542.41823,3.29453,0.002135951,5CN2,LAK_Acer_pseudoplatanus_5CN2_Red
LAK,A,4MO,Acer_pseudoplatanus,SP2,White,Acer_pseudoplatanus_1CN2_A_White,765.51965,0,0,1CN2,LAK_Acer_pseudoplatanus_1CN2_White
LAK,A,4MO,Acer_pseudoplatanus,SP2,White,Acer_pseudoplatanus_2CN2_A_White,592.23845,0,0,2CN2,LAK_Acer_pseudoplatanus_2CN2_White
LAK,A,4MO,Acer_pseudoplatanus,SP2,White,Acer_pseudoplatanus_3CN2_A_White,643.75267,0,0,3CN2,LAK_Acer_pseudoplatanus_3CN2_White
LAK,A,4MO,Acer_pseudoplatanus,SP2,White,Acer_pseudoplatanus_4CN2_A_White,1060.67029,0.95296,8.98E-04,4CN2,LAK_Acer_pseudoplatanus_4CN2_White
LAK,A,4MO,Acer_pseudoplatanus,SP2,White,Acer_pseudoplatanus_5CN2_A_White,1050.3182,1.7242,0.001641598,5CN2,LAK_Acer_pseudoplatanus_5CN2_White
LAK,A,4MO,Carpinus_betulus,SP6,Blue,Carpinus_betulus_1CN2_A_Blue,187.20296,0.12457,6.65E-04,1CN2,LAK_Carpinus_betulus_1CN2_Blue
LAK,A,4MO,Carpinus_betulus,SP6,Blue,Carpinus_betulus_2CN2_A_Blue,73.39824,0,0,2CN2,LAK_Carpinus_betulus_2CN2_Blue
LAK,A,4MO,Carpinus_betulus,SP6,Blue,Carpinus_betulus_3CN2_A_Blue,467.43037,0,0,3CN2,LAK_Carpinus_betulus_3CN2_Blue
LAK,A,4MO,Carpinus_betulus,SP6,Blue,Carpinus_betulus_4CN2_A_Blue,216.72062,0,0,4CN2,LAK_Carpinus_betulus_4CN2_Blue
