Colum_name,Example,Data_type,Explanation
Site,LAK,Text/Factor,"Name of the site - one of the six possible sites (LAK, TOM, BUB, KAK, DRO, EUC)"
Patrol,A,Text/Factor,"Patrols are coded as A-B, C-D. A and C are beginnings of the season in each surveyed year. B and D are resampled leaves at the end of the season. Difference between B and A is the change in herbivory damage in that given year (ither after 1month or 4 months)"
Experiment,1MO,Text/Factor,"Factor indicating whether the data belong to one months long experiment or four months long experiment (1MO, 4MO)"
SpeciesAnal,Acer_platanoides,Text/Factor,Latine name of the plan species used for analyses and phylogeny
Species,SP4,Text/Factor,Species code SP1 - SP16
Twig,Blue,Text/Factor,"Each tree individual had leaves sampled on three independent twigs, marked by coloured strings."
TwigCodeUnique,LAK_Acer_platanoides_1CN1_A_Blue,Text/Factor,Code consisting of Site_SpeaciesAnal_IndividualTreatment_Patrol_Twig
TwigArea_sum,874.42001,Numeric,Sum of the leaf area (Area.x) per individual twigs (out of 10 leaves per each twig)
TwigHerbivory_sum,1.17794,Numeric,Sum of the Herbivory per individual twigs (out of 10 leaves per each twig)
HerbProp,0.00134711,Numeric,"Proportion of the leaf area eaten by herbivores, calculated as TwigHerbivory_sum/TwigArea_sum"
