Species,SpeciesAnal,Site,TwigCodeNoPatrol,TwigArea_sum_A,TwigArea_sum_B,TwigArea_sum_C,TwigArea_sum_D,TwigHerbProp_A,TwigHerbProp_B,TwigHerbProp_C,TwigHerbProp_D,TwigHerbivory_sum_A,TwigHerbivory_sum_B,TwigHerbivory_sum_C,TwigHerbivory_sum_D
SP4,Acer_platanoides,LAK,LAK_Acer_platanoides_1CN1_Blue,874.42001,1492.60314,960.23217,1497.399,0.00134711,0.029402176,0.001327596,0.027926979,1.17794,43.88578,1.2748,41.81783
SP4,Acer_platanoides,LAK,LAK_Acer_platanoides_2CN1_Blue,1138.65253,1718.18122,1170.46808,1798.152,8.42e-4,0.035304856,4.45e-4,0.111612923,0.95876,60.66014,0.5205,200.697
SP4,Acer_platanoides,LAK,LAK_Acer_platanoides_3CN1_Blue,933.90186,1490.32937,793.07771,987.953,0,0.028671709,0,0.071281367,0,42.73029,0,70.42264
SP4,Acer_platanoides,LAK,LAK_Acer_platanoides_4CN1_Blue,971.89801,1490.50085,999.65715,1004.6726,3.26e-4,0.028341775,8.43e-4,0.017573884,0.31659,42.24344,0.84246,17.656
SP4,Acer_platanoides,LAK,LAK_Acer_platanoides_5CN1_Blue,861.75831,1492.41045,902.56009,1515.3477,0,0.028437753,0.001503346,0.028649926,0,42.4408,1.35686,43.4146
SP4,Acer_platanoides,LAK,LAK_Acer_platanoides_1CN1_Red,879.63662,1506.87082,963.67081,1510.606,0,0.040556171,0,0.037730136,0,61.11291,0,56.99537
SP4,Acer_platanoides,LAK,LAK_Acer_platanoides_2CN1_Red,427.13137,830.60073,497.91543,799.837,0,0.040300567,1.75e-4,0.102338351,0,33.47368,0.08726,81.854
SP4,Acer_platanoides,LAK,LAK_Acer_platanoides_3CN1_Red,1093.18445,1504.81882,1032.83479,987.953,0.001245252,0.036982053,2.94e-4,0.07328379,1.3612899999999999,55.65129,0.30395,72.40094
SP4,Acer_platanoides,LAK,LAK_Acer_platanoides_4CN1_Red,880.54315,1507.02927,969.37522,1136.254,0,0.039767608,0,0.052575797,0,59.93095,0,59.73946
SP4,Acer_platanoides,LAK,LAK_Acer_platanoides_5CN1_Red,1115.61944,1502.5998,1108.6525,1628.9446,0,0.036158384,0,0.036247015,0,54.33158,0,59.04438
SP4,Acer_platanoides,LAK,LAK_Acer_platanoides_1CN1_White,600.64676,763.91871,710.04309,759.6315,0,0.049770557,0,0.045707912,0,38.02066,0,34.72117
SP4,Acer_platanoides,LAK,LAK_Acer_platanoides_2CN1_White,699.50543,797.31092,848.74279,1256.166,0.001563119,0.05137529,0,0.130540072,1.09341,40.96208,0,163.98
SP4,Acer_platanoides,LAK,LAK_Acer_platanoides_3CN1_White,680.95463,762.63916,678.42818,987.953,0.001729631,0.047348382,0,0.065602787,1.1778,36.10973,0,64.81247
SP4,Acer_platanoides,LAK,LAK_Acer_platanoides_4CN1_White,770.98231,762.65417,621.62731,378.643,0,0.046902609,0,0.046696096,0,35.77047,0,17.68115
SP4,Acer_platanoides,LAK,LAK_Acer_platanoides_5CN1_White,652.55401,760.91537,667.02373,815.2595,0.001109134,0.044905007,1.27e-4,0.045776455,0.72377,34.16891,0.08489,37.31969
SP2,Acer_pseudoplatanus,LAK,LAK_Acer_pseudoplatanus_1CN1_Blue,708.39503,999.668,681.07395,962.5382,0,0.001334443,0.001879678,0.002161992,0,1.334,1.2802,2.081
SP2,Acer_pseudoplatanus,LAK,LAK_Acer_pseudoplatanus_2CN1_Blue,712.74531,976.47162,740.74317,1091.632,0.00114268,0.010295066,0.001339898,0.008457007,0.81444,10.05284,0.99252,9.23194
SP2,Acer_pseudoplatanus,LAK,LAK_Acer_pseudoplatanus_3CN1_Blue,612.4603,976.8786,763.14509,1151.2382,0,0.010660588,0,0.117707656,0,10.4141,0,135.50955
SP2,Acer_pseudoplatanus,LAK,LAK_Acer_pseudoplatanus_4CN1_Blue,679.71231,975.54577,669.46092,1050.7343,0.001580448,0.008229639,0.001434587,0.001277078,1.07425,8.02839,0.9604,1.34187
SP2,Acer_pseudoplatanus,LAK,LAK_Acer_pseudoplatanus_5CN1_Blue,958.2543,1594.209,1059.33155,1037.1945,0,0.048527721,0.001722397,0.010309281,0,77.36333,1.82459,10.69273
SP2,Acer_pseudoplatanus,LAK,LAK_Acer_pseudoplatanus_1CN1_Red,752.7507,1041.48975,718.88598,989.5174,0,0.01648456,0,0.002580046,0,17.1685,0,2.553
SP2,Acer_pseudoplatanus,LAK,LAK_Acer_pseudoplatanus_2CN1_Red,614.65016,1006.20704,714.00974,1091.632,8.67e-4,0.006146409,7.12e-4,0.129442926,0.53313,6.18456,0.50825,141.30404
SP2,Acer_pseudoplatanus,LAK,LAK_Acer_pseudoplatanus_3CN1_Red,781.01101,1007.43603,744.57277,518.7766,1.14e-4,0.00753762,0,0.044067138,0.0889,7.59367,0,22.861
SP2,Acer_pseudoplatanus,LAK,LAK_Acer_pseudoplatanus_4CN1_Red,692.39519,1008.82749,691.59778,1097.5758,0.001661724,0.007975596,0,0.016756301,1.15057,8.046,0,18.39131
SP2,Acer_pseudoplatanus,LAK,LAK_Acer_pseudoplatanus_5CN1_Red,1229.49274,1896.888,1306.61479,1047.1924,0,0.014231731,0.003451124,0.006396017,0,26.996,4.50929,6.69786
SP2,Acer_pseudoplatanus,LAK,LAK_Acer_pseudoplatanus_1CN1_White,645.05676,931.539,570.87863,998.8398,1.5e-4,0.007584224,0,0.008029316,0.09707,7.065,0,8.02
SP2,Acer_pseudoplatanus,LAK,LAK_Acer_pseudoplatanus_2CN1_White,619.03935,983.91421,705.14361,1091.632,0,0.010598851,4.15e-4,0.110500068,0,10.42836,0.29246,120.62541
SP2,Acer_pseudoplatanus,LAK,LAK_Acer_pseudoplatanus_3CN1_White,666.73942,984.60099,713.75248,1184.8643,0,0.012712053,0,0.125733858,0,12.5163,0,148.97756
SP2,Acer_pseudoplatanus,LAK,LAK_Acer_pseudoplatanus_4CN1_White,662.74313,983.56286,589.24285,974.1878,0,0.012552345,8.74e-4,0.007743332,0,12.34602,0.51508,7.54346
SP2,Acer_pseudoplatanus,LAK,LAK_Acer_pseudoplatanus_5CN1_White,909.28407,1225.968,932.89758,1004.7583,3.84e-4,0.0312708,0,0.010701798,0.34892,38.337,0,10.75272
SP6,Carpinus_betulus,LAK,LAK_Carpinus_betulus_1CN1_Blue,183.46853,287.90227,174.22867,241.3454,0.002246162,0.026411879,0,0.019308427,0.4121,7.60404,0,4.66
SP6,Carpinus_betulus,LAK,LAK_Carpinus_betulus_2CN1_Blue,199.5515,289.8388,194.31814,300.213,0,0.033428616,9.08e-4,0.062625536,0,9.68891,0.17651,18.801
SP6,Carpinus_betulus,LAK,LAK_Carpinus_betulus_3CN1_Blue,103.36895,153.06425,103.86987,244.7962,0.001690353,0.015518255,7.88e-4,0.027594383,0.17473,2.37529,0.08186,6.755
SP6,Carpinus_betulus,LAK,LAK_Carpinus_betulus_4CN1_Blue,119.03488,141.09995,100.91784,222.9468,0,0.029730556000000002,0.001186014,0.022306308,0,4.19498,0.11969,4.97312
SP6,Carpinus_betulus,LAK,LAK_Carpinus_betulus_5CN1_Blue,198.1136,275.3341,187.58690000000001,251.8806,0.001294611,0.052299515,2.06e-4,0.051205571,0.25648,14.39984,0.03873,12.89769
SP6,Carpinus_betulus,LAK,LAK_Carpinus_betulus_1CN1_Red,124.7874,192.86501,130.7725,236.156,0.001082401,0.034574753,1.87e-4,0.004480089,0.13507,6.66826,0.02441,1.058
SP6,Carpinus_betulus,LAK,LAK_Carpinus_betulus_2CN1_Red,107.36123,183.53971,136.69157,278.6854,0.001098907,0.014152578,0,0.01138201,0.11798,2.59756,0,3.172
SP6,Carpinus_betulus,LAK,LAK_Carpinus_betulus_3CN1_Red,230.17167,316.89263,224.14485,207.7596,0,0.031092676,0.003098666,0.019790518,0,9.85304,0.69455,4.11167
SP6,Carpinus_betulus,LAK,LAK_Carpinus_betulus_4CN1_Red,181.47277,267.94027,185.49652,244.6927,4.73e-4,0.021168412,0,0.0390368,0.08577,5.67187,0,9.55202
SP6,Carpinus_betulus,LAK,LAK_Carpinus_betulus_5CN1_Red,120.71921,167.39477,120.3387,216.932,4.09e-4,0.029383714,0.002228793,0.034165914,0.04934,4.91868,0.26821,7.41168
SP6,Carpinus_betulus,LAK,LAK_Carpinus_betulus_1CN1_White,123.09921,202.13032,160.25765,199.5144,6e-4,0.021215323,0.001485046,0.026387369,0.07391,4.28826,0.23799,5.26466
SP6,Carpinus_betulus,LAK,LAK_Carpinus_betulus_2CN1_White,152.91144,207.04567,146.11146,202.7398,0.002828042,0.032364647,8.22e-4,0.009854996,0.43244,6.70096,0.12004,1.998
SP6,Carpinus_betulus,LAK,LAK_Carpinus_betulus_3CN1_White,169.81745,236.08741,153.53321,257.5266,0.001491602,0.031850915,1.38e-4,0.01421989,0.2533,7.5196,0.02114,3.662
SP6,Carpinus_betulus,LAK,LAK_Carpinus_betulus_4CN1_White,156.81028,217.63436,171.19736,250.9998,0.002108854,0.023001469,0,0.019376908,0.33069,5.00591,0,4.8636
SP6,Carpinus_betulus,LAK,LAK_Carpinus_betulus_5CN1_White,143.40816,209.29924,149.98443,226.2894,0,0.021458559,0.001482287,0.022365961,0,4.49126,0.22232,5.06118
SP3,Fraxinus_excelsior,LAK,LAK_Fraxinus_excelsior_1CN1_Blue,182.32063,274.85768,166.95885,367.8915,0.001097517,0.032918855,0.001042652,0.57235,0.2001,9.048,0.17408,210.5627
SP3,Fraxinus_excelsior,LAK,LAK_Fraxinus_excelsior_2CN1_Blue,425.94247,738.152,359.99596,302.1405,8.68e-4,0.171753257,3.22e-4,0.033960426,0.36952,126.78001,0.11605,10.26082
SP3,Fraxinus_excelsior,LAK,LAK_Fraxinus_excelsior_3CN1_Blue,191.97046,262.6348,191.44217,279.1169,0,0.014503029,0.001145463,0.014921454,0,3.809,0.21929,4.16483
SP3,Fraxinus_excelsior,LAK,LAK_Fraxinus_excelsior_4CN1_Blue,189.92607,272.74233,179.59308,284.3119,0,0.027318752,6.21e-4,0.028082539,0,7.45098,0.1115,7.9842
SP3,Fraxinus_excelsior,LAK,LAK_Fraxinus_excelsior_5CN1_Blue,188.36207,272.77103,176.43423,286.6616,0,0.029795466,7.68e-4,0.03195653,0,8.12734,0.1355,9.16071
SP3,Fraxinus_excelsior,LAK,LAK_Fraxinus_excelsior_1CN1_Red,200.11062,297.66525,205.59129,823.0917,4.13e-4,0.016734671,3.65e-4,0.019992912,0.08264,4.98133,0.07501,16.456
SP3,Fraxinus_excelsior,LAK,LAK_Fraxinus_excelsior_2CN1_Red,425.37799,449.837,380.96576,334.858,0.002034567,0.048582042,0,0.016236912,0.86546,21.854,0,5.43706
SP3,Fraxinus_excelsior,LAK,LAK_Fraxinus_excelsior_4CN1_Red,182.51991,299.11723,203.3796,317.4897,0,0.026617791,4.4e-4,0.024851231,0,7.96184,0.08948,7.89001
SP3,Fraxinus_excelsior,LAK,LAK_Fraxinus_excelsior_5CN1_Red,195.34549,300.7115,196.16888,326.0484,0,0.027983,0,0.028584928,0,8.41481,0,9.32007
SP3,Fraxinus_excelsior,LAK,LAK_Fraxinus_excelsior_1CN1_White,172.0726,237.34859,185.56363,603.9777,0.002929287,0.051131839,0,0.01124876,0.50405,12.13607,0,6.794
SP3,Fraxinus_excelsior,LAK,LAK_Fraxinus_excelsior_2CN1_White,442.29429,566.166,421.6396,246.6327,9.4e-4,0.215271369,0,0.050272247,0.41597,121.87933,0,12.39878
SP3,Fraxinus_excelsior,LAK,LAK_Fraxinus_excelsior_3CN1_White,402.85397,556.3425,409.77097,217.4477,2.12e-4,0.033795728,0.001319664,0.060189738,0.08541,18.802,0.54076,13.08812
SP3,Fraxinus_excelsior,LAK,LAK_Fraxinus_excelsior_4CN1_White,189.30027,236.63332,167.58205,266.0482,3.76e-4,0.058484579,0.001386903,0.056537086,0.07115,13.8394,0.23242,15.04159
SP3,Fraxinus_excelsior,LAK,LAK_Fraxinus_excelsior_5CN1_White,162.8339,238.01822,159.05466,247.7815,5.93e-4,0.054759211,2.58e-4,0.051027942,0.096560000000000007,13.03369,0.04103,12.64378
SP5,Quercus_robur,LAK,LAK_Quercus_robur_1CN1_Blue,143.62195,197.33476,141.71619,216.46,0,0.033890735,0,0.051954172,0,6.68782,0,11.246
SP5,Quercus_robur,LAK,LAK_Quercus_robur_2CN1_Blue,149.04736,234.54975,153.34192,234.188,0,0.021530827,1.29e-4,0.011964746,0,5.05005,0.01977,2.802
SP5,Quercus_robur,LAK,LAK_Quercus_robur_3CN1_Blue,153.439,196.47,137.0303,251.554,0,0.043656792,0,2.07e-4,0,8.57725,0,0.052
SP5,Quercus_robur,LAK,LAK_Quercus_robur_4CN1_Blue,138.04611,178.32678,131.32712,186.765,0,0.035264866,0.001185665,0.021149573,0,6.28867,0.15571,3.95
SP5,Quercus_robur,LAK,LAK_Quercus_robur_5CN1_Blue,114.21377,168.98307,115.08046,170.663,0,0.058964191,0,0.046096693,0,9.96395,0,7.867
SP5,Quercus_robur,LAK,LAK_Quercus_robur_1CN1_Red,143.45983,222.90185,159.80069,328.9445,7.76e-4,0.009337922,0.001908628,0.174978971,0.11138,2.08144,0.305,57.55837
SP5,Quercus_robur,LAK,LAK_Quercus_robur_2CN1_Red,138.96631,214.94925,153.60343,214.31,8.61e-4,0.008707265,0.002182634,0.003373618,0.11968,1.87162,0.33526,0.723
SP5,Quercus_robur,LAK,LAK_Quercus_robur_3CN1_Red,157.73133,224.9006,147.20736,349.28,0,0.020620132,0,0.004449153,0,4.63748,0,1.554
SP5,Quercus_robur,LAK,LAK_Quercus_robur_4CN1_Red,134.15416,198.92215,123.86949,200.653,9.07e-4,0.063635347,7.04e-4,0.041504488,0.12169,12.65848,0.08719,8.328
SP5,Quercus_robur,LAK,LAK_Quercus_robur_5CN1_Red,91.70399,133.78983,115.47543,129.593,2.79e-4,0.074267304,4.18e-4,0.083646493,0.02558,9.93621,0.04829,10.84
SP5,Quercus_robur,LAK,LAK_Quercus_robur_1CN1_White,135.40898,186.06706,119.20982,282.006,0.001724701,0.038154416,0.001586195,0.003691411,0.23354,7.09928,0.18909,1.041
SP5,Quercus_robur,LAK,LAK_Quercus_robur_2CN1_White,116.63612,159.76963,126.502,158.787,0,0.072496381,7.56e-4,0.04244258,0,11.58272,0.09568,6.73933
SP5,Quercus_robur,LAK,LAK_Quercus_robur_3CN1_White,133.06826,178.95151,131.21271,263.96,0.001726031,0.028045642,5.95e-4,0.016544173,0.22968,5.01881,0.07804,4.367
SP5,Quercus_robur,LAK,LAK_Quercus_robur_4CN1_White,151.23819,218.97494,156.27332,218.048,5.92e-4,0.051622391,0.001289536,0.036978097,0.08951,11.30401,0.20152,8.063
SP5,Quercus_robur,LAK,LAK_Quercus_robur_5CN1_White,116.42226,170.95435,111.97227,167.513,2.72e-4,0.071986527,4.33e-4,0.045202462,0.03161,12.30641,0.0485,7.572
SP1,Tilia_cordata,LAK,LAK_Tilia_cordata_1CN1_Blue,274.39601,374.8205,288.89525,235.238,0,0.039225496,7.95e-4,0.048822894,0,14.70252,0.2298,11.485
SP1,Tilia_cordata,LAK,LAK_Tilia_cordata_2CN1_Blue,257.83112,374.26591,245.47844,389.868,0.001367601,0.03258961,0.001164909,0.009321283,0.35261,12.19718,0.28596,3.63407
SP1,Tilia_cordata,LAK,LAK_Tilia_cordata_3CN1_Blue,323.20601,425.25922,278.41972,419.4042,6.64e-4,0.019820405,0,0.008882934,0.21456,8.42881,0,3.72554
SP1,Tilia_cordata,LAK,LAK_Tilia_cordata_4CN1_Blue,258.29277,357.49432,222.90469,633.7301,0,0.005952962,4.41e-4,0.088408173,0,2.12815,0.09828,56.02692
SP1,Tilia_cordata,LAK,LAK_Tilia_cordata_5CN1_Blue,240.76929,375.81641,254.96293,412.0982,0.002045153,0.021308835,0.002342497,0.009872526,0.49241,8.00821,0.59725,4.06845
SP1,Tilia_cordata,LAK,LAK_Tilia_cordata_1CN1_Red,249.91495,360.36944,221.50458,590.216,0,0.019721733,0.001078398,0.088237188,0,7.10711,0.23887,52.079
SP1,Tilia_cordata,LAK,LAK_Tilia_cordata_2CN1_Red,212.28971,358.86377,251.02709,389.868,7.05e-4,0.015290677,0,0.122721152,0.14959,5.48727,0,47.84505
SP1,Tilia_cordata,LAK,LAK_Tilia_cordata_3CN1_Red,290.10686,375.53656,253.64083,343.6164,9.33e-4,0.024683669,6.21e-4,0.072375766,0.27065,9.26962,0.15744,24.8695
SP1,Tilia_cordata,LAK,LAK_Tilia_cordata_4CN1_Red,240.65453,384.68425,300.36472,248.3913,0.001338849,0.009253875,0.001553778,0.049630603,0.3222,3.55982,0.4667,12.32781
SP1,Tilia_cordata,LAK,LAK_Tilia_cordata_5CN1_Red,303.60408,371.44801,254.55856,325.5774,0,0.00941553,3.3e-4,0.07758275,0,3.49738,0.08413,25.25919
SP1,Tilia_cordata,LAK,LAK_Tilia_cordata_1CN1_White,264.4681,381.8597,230.69441,389.868,0,0.008815096,0,0,0,3.36613,0,0
SP1,Tilia_cordata,LAK,LAK_Tilia_cordata_2CN1_White,280.86275,385.50039,286.64036,389.868,0.003894678,0.013958274,0,0.028177819,1.09387,5.38092,0,10.98563
SP1,Tilia_cordata,LAK,LAK_Tilia_cordata_3CN1_White,251.73645,369.34579,260.21964,415.0708,0.001878711,0.01022137,1.83e-4,0.026913457,0.47294,3.77522,0.04764,11.17099
SP1,Tilia_cordata,LAK,LAK_Tilia_cordata_4CN1_White,231.70606,345.46225,218.21888,413.3816,0,0.011578197,0,0,0,3.99983,0,0
SP1,Tilia_cordata,LAK,LAK_Tilia_cordata_5CN1_White,273.64229,388.39737,244.0029,398.2217,0,0.016319112,3.68e-4,0.031616534,0,6.3383,0.08991,12.59039
SP7,Ulmus_glabra,LAK,LAK_Ulmus_glabra_1CN1_Blue,130.98311,217.39263,158.62807,211.3353,0.001461104,0.043162411,0.002513868,0,0.19138,9.38319,0.39877,0
SP7,Ulmus_glabra,LAK,LAK_Ulmus_glabra_2CN1_Blue,154.84482,215.05701,163.26111,215.0568,0.002420229,0.036491487,0,0.036491522,0.37476,7.84775,0,7.84775
SP7,Ulmus_glabra,LAK,LAK_Ulmus_glabra_3CN1_Blue,152.30361,201.29064,152.87886,231.7703,0,0.055258506,3.93e-4,0.038366477,0,11.12302,0.06008,8.89221
SP7,Ulmus_glabra,LAK,LAK_Ulmus_glabra_4CN1_Blue,176.37951,242.11465,182.04226,244.8592,0,0.019395481,0,0.014922862,0,4.69593,0,3.654
SP7,Ulmus_glabra,LAK,LAK_Ulmus_glabra_5CN1_Blue,167.7867,246.17904,184.23047,259.9483,0,0.06096376,1.06e-4,0.021182904,0,15.008,0.01946,5.50646
