Site,Patrol,Experiment,SpeciesAnal,Species,Twig,TwigCodeUnique,TwigArea_sum,TwigHerbivory_sum,HerbProp
LAK,A,1MO,Acer_platanoides,SP4,Blue,LAK_Acer_platanoides_1CN1_A_Blue,874.42001,1.17794,0.001347110068993046
LAK,A,1MO,Acer_platanoides,SP4,Blue,LAK_Acer_platanoides_2CN1_A_Blue,1138.65253,0.9587600000000001,8.420127955979687e-4
LAK,A,1MO,Acer_platanoides,SP4,Blue,LAK_Acer_platanoides_3CN1_A_Blue,933.90186,0,0
LAK,A,1MO,Acer_platanoides,SP4,Blue,LAK_Acer_platanoides_4CN1_A_Blue,971.89801,0.31659,3.2574405621017783e-4
LAK,A,1MO,Acer_platanoides,SP4,Blue,LAK_Acer_platanoides_5CN1_A_Blue,861.75831,0,0
LAK,A,1MO,Acer_platanoides,SP4,Red,LAK_Acer_platanoides_1CN1_A_Red,879.63662,0,0
LAK,A,1MO,Acer_platanoides,SP4,Red,LAK_Acer_platanoides_2CN1_A_Red,427.13137,0,0
LAK,A,1MO,Acer_platanoides,SP4,Red,LAK_Acer_platanoides_3CN1_A_Red,1093.18445,1.3612899999999999,0.0012452518877303824
LAK,A,1MO,Acer_platanoides,SP4,Red,LAK_Acer_platanoides_4CN1_A_Red,880.54315,0,0
LAK,A,1MO,Acer_platanoides,SP4,Red,LAK_Acer_platanoides_5CN1_A_Red,1115.61944,0,0
LAK,A,1MO,Acer_platanoides,SP4,White,LAK_Acer_platanoides_1CN1_A_White,600.64676,0,0
LAK,A,1MO,Acer_platanoides,SP4,White,LAK_Acer_platanoides_2CN1_A_White,699.50543,1.09341,0.0015631186737178008
LAK,A,1MO,Acer_platanoides,SP4,White,LAK_Acer_platanoides_3CN1_A_White,680.95463,1.1778,0.0017296306510170877
LAK,A,1MO,Acer_platanoides,SP4,White,LAK_Acer_platanoides_4CN1_A_White,770.98231,0,0
LAK,A,1MO,Acer_platanoides,SP4,White,LAK_Acer_platanoides_5CN1_A_White,652.5540100000001,0.72377,0.0011091342462212438
LAK,A,1MO,Acer_pseudoplatanus,SP2,Blue,LAK_Acer_pseudoplatanus_1CN1_A_Blue,708.39503,0,0
LAK,A,1MO,Acer_pseudoplatanus,SP2,Blue,LAK_Acer_pseudoplatanus_2CN1_A_Blue,712.74531,0.81444,0.0011426802654092526
LAK,A,1MO,Acer_pseudoplatanus,SP2,Blue,LAK_Acer_pseudoplatanus_3CN1_A_Blue,612.4603,0,0
LAK,A,1MO,Acer_pseudoplatanus,SP2,Blue,LAK_Acer_pseudoplatanus_4CN1_A_Blue,679.71231,1.07425,0.0015804480575024452
LAK,A,1MO,Acer_pseudoplatanus,SP2,Blue,LAK_Acer_pseudoplatanus_5CN1_A_Blue,958.2543000000001,0,0
LAK,A,1MO,Acer_pseudoplatanus,SP2,Red,LAK_Acer_pseudoplatanus_1CN1_A_Red,752.7507,0,0
LAK,A,1MO,Acer_pseudoplatanus,SP2,Red,LAK_Acer_pseudoplatanus_2CN1_A_Red,614.65016,0.53313,8.67371449150847e-4
