"Species","Patrol","SpeciesAnal","Site","TwigCodeNoPatrol","SaplingCodeNoPatrol","SaplingCodeUnique","TwigCodeUnique","TwigArea_sum_AC","TwigArea_sum_BD","TwigHerbivory_sum_AC","TwigHerbivory_sum_BD","TwigHerbProp_AC","TwigHerbProp_BD","StartEndDiff_AC","StartEndDiff_BD","PatrolGroup","TwigHerbProp_combined"
"SP4","A","Acer_platanoides","LAK","LAK_Acer_platanoides_1CN1_Red","LAK_Acer_platanoides_1CN1","LAK_Acer_platanoides_1CN1_A","LAK_Acer_platanoides_1CN1_Red_A",879.63662,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","B","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_1CN1_Blue","BUB_Baccaurea_ramiflora_1CN1","BUB_Baccaurea_ramiflora_1CN1_B","BUB_Baccaurea_ramiflora_1CN1_Blue_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP4","C","Acer_platanoides","LAK","LAK_Acer_platanoides_1CN1_Red","LAK_Acer_platanoides_1CN1","LAK_Acer_platanoides_1CN1_C","LAK_Acer_platanoides_1CN1_Red_C",963.67081,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","D","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_1CN1_Blue","BUB_Baccaurea_ramiflora_1CN1","BUB_Baccaurea_ramiflora_1CN1_D","BUB_Baccaurea_ramiflora_1CN1_Blue_D",NA,297.60191,NA,15.50349,0,0.052094726,NA,0.041068901,"DB",0.052094726
"SP4","A","Acer_platanoides","LAK","LAK_Acer_platanoides_1CN1_White","LAK_Acer_platanoides_1CN1","LAK_Acer_platanoides_1CN1_A","LAK_Acer_platanoides_1CN1_White_A",600.64676,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","B","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_1CN1_Red","BUB_Baccaurea_ramiflora_1CN1","BUB_Baccaurea_ramiflora_1CN1_B","BUB_Baccaurea_ramiflora_1CN1_Red_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP4","C","Acer_platanoides","LAK","LAK_Acer_platanoides_1CN1_White","LAK_Acer_platanoides_1CN1","LAK_Acer_platanoides_1CN1_C","LAK_Acer_platanoides_1CN1_White_C",710.04309,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","D","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_1CN1_Red","BUB_Baccaurea_ramiflora_1CN1","BUB_Baccaurea_ramiflora_1CN1_D","BUB_Baccaurea_ramiflora_1CN1_Red_D",NA,847.22547,NA,52.28093,0,0.061708402,NA,0.054459714,"DB",0.061708402
"SP4","A","Acer_platanoides","LAK","LAK_Acer_platanoides_2CN1_Red","LAK_Acer_platanoides_2CN1","LAK_Acer_platanoides_2CN1_A","LAK_Acer_platanoides_2CN1_Red_A",427.13137,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","B","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_1CN1_White","BUB_Baccaurea_ramiflora_1CN1","BUB_Baccaurea_ramiflora_1CN1_B","BUB_Baccaurea_ramiflora_1CN1_White_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP4","C","Acer_platanoides","LAK","LAK_Acer_platanoides_2CN1_White","LAK_Acer_platanoides_2CN1","LAK_Acer_platanoides_2CN1_C","LAK_Acer_platanoides_2CN1_White_C",848.74279,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","D","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_1CN1_White","BUB_Baccaurea_ramiflora_1CN1","BUB_Baccaurea_ramiflora_1CN1_D","BUB_Baccaurea_ramiflora_1CN1_White_D",NA,384.44325,NA,23.79077,0,0.061883698,NA,0.045356709,"DB",0.061883698
"SP4","A","Acer_platanoides","LAK","LAK_Acer_platanoides_3CN1_Blue","LAK_Acer_platanoides_3CN1","LAK_Acer_platanoides_3CN1_A","LAK_Acer_platanoides_3CN1_Blue_A",933.90186,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","B","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_2CN1_Blue","BUB_Baccaurea_ramiflora_2CN1","BUB_Baccaurea_ramiflora_2CN1_B","BUB_Baccaurea_ramiflora_2CN1_Blue_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP4","C","Acer_platanoides","LAK","LAK_Acer_platanoides_3CN1_Blue","LAK_Acer_platanoides_3CN1","LAK_Acer_platanoides_3CN1_C","LAK_Acer_platanoides_3CN1_Blue_C",793.07771,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","D","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_2CN1_Blue","BUB_Baccaurea_ramiflora_2CN1","BUB_Baccaurea_ramiflora_2CN1_D","BUB_Baccaurea_ramiflora_2CN1_Blue_D",NA,213.62132,NA,14.80946,0,0.069325758,NA,0.062491564,"DB",0.069325758
"SP4","C","Acer_platanoides","LAK","LAK_Acer_platanoides_3CN1_White","LAK_Acer_platanoides_3CN1","LAK_Acer_platanoides_3CN1_C","LAK_Acer_platanoides_3CN1_White_C",678.42818,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","B","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_2CN1_Red","BUB_Baccaurea_ramiflora_2CN1","BUB_Baccaurea_ramiflora_2CN1_B","BUB_Baccaurea_ramiflora_2CN1_Red_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP4","A","Acer_platanoides","LAK","LAK_Acer_platanoides_4CN1_Red","LAK_Acer_platanoides_4CN1","LAK_Acer_platanoides_4CN1_A","LAK_Acer_platanoides_4CN1_Red_A",880.54315,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","D","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_2CN1_Red","BUB_Baccaurea_ramiflora_2CN1","BUB_Baccaurea_ramiflora_2CN1_D","BUB_Baccaurea_ramiflora_2CN1_Red_D",NA,281.9775,NA,22.0596,0,0.078231774,NA,0.066996205,"DB",0.078231774
"SP4","C","Acer_platanoides","LAK","LAK_Acer_platanoides_4CN1_Red","LAK_Acer_platanoides_4CN1","LAK_Acer_platanoides_4CN1_C","LAK_Acer_platanoides_4CN1_Red_C",969.37522,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","B","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_2CN1_White","BUB_Baccaurea_ramiflora_2CN1","BUB_Baccaurea_ramiflora_2CN1_B","BUB_Baccaurea_ramiflora_2CN1_White_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP4","A","Acer_platanoides","LAK","LAK_Acer_platanoides_4CN1_White","LAK_Acer_platanoides_4CN1","LAK_Acer_platanoides_4CN1_A","LAK_Acer_platanoides_4CN1_White_A",770.98231,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","D","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_2CN1_White","BUB_Baccaurea_ramiflora_2CN1","BUB_Baccaurea_ramiflora_2CN1_D","BUB_Baccaurea_ramiflora_2CN1_White_D",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP4","C","Acer_platanoides","LAK","LAK_Acer_platanoides_4CN1_White","LAK_Acer_platanoides_4CN1","LAK_Acer_platanoides_4CN1_C","LAK_Acer_platanoides_4CN1_White_C",621.62731,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","B","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_3CN1_Blue","BUB_Baccaurea_ramiflora_3CN1","BUB_Baccaurea_ramiflora_3CN1_B","BUB_Baccaurea_ramiflora_3CN1_Blue_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP4","A","Acer_platanoides","LAK","LAK_Acer_platanoides_5CN1_Blue","LAK_Acer_platanoides_5CN1","LAK_Acer_platanoides_5CN1_A","LAK_Acer_platanoides_5CN1_Blue_A",861.75831,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","D","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_3CN1_Blue","BUB_Baccaurea_ramiflora_3CN1","BUB_Baccaurea_ramiflora_3CN1_D","BUB_Baccaurea_ramiflora_3CN1_Blue_D",NA,440.76658,NA,29.8604,0,0.067746516,NA,0.046739179,"DB",0.067746516
"SP4","A","Acer_platanoides","LAK","LAK_Acer_platanoides_5CN1_Red","LAK_Acer_platanoides_5CN1","LAK_Acer_platanoides_5CN1_A","LAK_Acer_platanoides_5CN1_Red_A",1115.61944,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","B","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_3CN1_Red","BUB_Baccaurea_ramiflora_3CN1","BUB_Baccaurea_ramiflora_3CN1_B","BUB_Baccaurea_ramiflora_3CN1_Red_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP4","C","Acer_platanoides","LAK","LAK_Acer_platanoides_5CN1_Red","LAK_Acer_platanoides_5CN1","LAK_Acer_platanoides_5CN1_C","LAK_Acer_platanoides_5CN1_Red_C",1108.6525,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","D","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_3CN1_Red","BUB_Baccaurea_ramiflora_3CN1","BUB_Baccaurea_ramiflora_3CN1_D","BUB_Baccaurea_ramiflora_3CN1_Red_D",NA,445.85528,NA,17.80758,0,0.039940269,NA,0.034819018,"DB",0.039940269
"SP2","A","Acer_pseudoplatanus","LAK","LAK_Acer_pseudoplatanus_1CN1_Blue","LAK_Acer_pseudoplatanus_1CN1","LAK_Acer_pseudoplatanus_1CN1_A","LAK_Acer_pseudoplatanus_1CN1_Blue_A",708.39503,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","B","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_3CN1_White","BUB_Baccaurea_ramiflora_3CN1","BUB_Baccaurea_ramiflora_3CN1_B","BUB_Baccaurea_ramiflora_3CN1_White_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP2","A","Acer_pseudoplatanus","LAK","LAK_Acer_pseudoplatanus_1CN1_Red","LAK_Acer_pseudoplatanus_1CN1","LAK_Acer_pseudoplatanus_1CN1_A","LAK_Acer_pseudoplatanus_1CN1_Red_A",752.7507,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","D","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_3CN1_White","BUB_Baccaurea_ramiflora_3CN1","BUB_Baccaurea_ramiflora_3CN1_D","BUB_Baccaurea_ramiflora_3CN1_White_D",NA,633.79948,NA,26.81863,0,0.042314061,NA,0.036689429,"DB",0.042314061
"SP2","C","Acer_pseudoplatanus","LAK","LAK_Acer_pseudoplatanus_1CN1_Red","LAK_Acer_pseudoplatanus_1CN1","LAK_Acer_pseudoplatanus_1CN1_C","LAK_Acer_pseudoplatanus_1CN1_Red_C",718.88598,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","B","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_4CN1_Blue","BUB_Baccaurea_ramiflora_4CN1","BUB_Baccaurea_ramiflora_4CN1_B","BUB_Baccaurea_ramiflora_4CN1_Blue_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP2","C","Acer_pseudoplatanus","LAK","LAK_Acer_pseudoplatanus_1CN1_White","LAK_Acer_pseudoplatanus_1CN1","LAK_Acer_pseudoplatanus_1CN1_C","LAK_Acer_pseudoplatanus_1CN1_White_C",570.87863,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","D","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_4CN1_Blue","BUB_Baccaurea_ramiflora_4CN1","BUB_Baccaurea_ramiflora_4CN1_D","BUB_Baccaurea_ramiflora_4CN1_Blue_D",NA,796.65683,NA,39.44838,0,0.049517406,NA,0.044513399,"DB",0.049517406
"SP2","A","Acer_pseudoplatanus","LAK","LAK_Acer_pseudoplatanus_2CN1_White","LAK_Acer_pseudoplatanus_2CN1","LAK_Acer_pseudoplatanus_2CN1_A","LAK_Acer_pseudoplatanus_2CN1_White_A",619.03935,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","B","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_4CN1_Red","BUB_Baccaurea_ramiflora_4CN1","BUB_Baccaurea_ramiflora_4CN1_B","BUB_Baccaurea_ramiflora_4CN1_Red_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
