"Species","SpeciesAnal","Site","TwigCodeNoPatrol","BranchCodeNoPatrol","Patrol","TwigCodeUnique","SaplingCodeUnique","TwigArea_sum_BD","TwigArea_sum_AC","TwigHerbivory_sum_BD","TwigHerbivory_sum_AC","TwigHerbProp_BD","TwigHerbProp_AC","StartEndDiff_BD","StartEndDiff_AC","PatrolGroup","TwigHerbProp_combined"
"SP1","Pometia_pinnata","KAK","KAK_Pometia_pinnata_3CN2_Blue","KAK_Pometia_pinnata_3CN2","B","KAK_Pometia_pinnata_3CN2_Blue_B","KAK_Pometia_pinnata_3CN2_B",1288.11377,NA,97.65531,NA,0.075812643,0,0.068550391,NA,"DB",0.075812643
"SP1","Cryptocarya_sp. ","DRO","DRO_Cryptocarya_sp. _3CN2_White","DRO_Cryptocarya_sp. _3CN2","D","DRO_Cryptocarya_sp. _3CN2_White_D","DRO_Cryptocarya_sp. _3CN2_D",341.425,NA,6.927,NA,0.020288497,0,0.061435811,NA,"DB",0.020288497
"SP3","Eucalyptus_tereticornis","EUC","EUC_Eucalyptus_tereticornis_3CN2_Blue","EUC_Eucalyptus_tereticornis_3CN2","B","EUC_Eucalyptus_tereticornis_3CN2_Blue_B","EUC_Eucalyptus_tereticornis_3CN2_B",138.657,NA,53.72529,NA,0.387469006,0,0.057377891,NA,"DB",0.387469006
"SP4","Haplostichanthus_ramiflorus","DRO","DRO_Haplostichanthus_ramiflorus_3CN2_Red","DRO_Haplostichanthus_ramiflorus_3CN2","B","DRO_Haplostichanthus_ramiflorus_3CN2_Red_B","DRO_Haplostichanthus_ramiflorus_3CN2_B",111.88818,NA,1.40967,NA,0.012598918,0,0.05548125,NA,"DB",0.012598918
"SP1","Pometia_pinnata","KAK","KAK_Pometia_pinnata_2CN2_Blue","KAK_Pometia_pinnata_2CN2","B","KAK_Pometia_pinnata_2CN2_Blue_B","KAK_Pometia_pinnata_2CN2_B",907.16974,NA,113.51568,NA,0.125131687,0,0.055455016,NA,"DB",0.125131687
"SP5","Myristica_globosa","DRO","DRO_Myristica_globosa_1CN2_White","DRO_Myristica_globosa_1CN2","B","DRO_Myristica_globosa_1CN2_White_B","DRO_Myristica_globosa_1CN2_B",932.20497,NA,12.26844,NA,0.013160668,0,0.054198374,NA,"DB",0.013160668
"SP5","Myristica_globosa","DRO","DRO_Myristica_globosa_4CN2_White","DRO_Myristica_globosa_4CN2","B","DRO_Myristica_globosa_4CN2_White_B","DRO_Myristica_globosa_4CN2_B",947.57399,NA,12.30767,NA,0.012988611,0,0.04990634,NA,"DB",0.012988611
"SP6","Rockinghamia_angustifolia","DRO","DRO_Rockinghamia_angustifolia_1CN2_Blue","DRO_Rockinghamia_angustifolia_1CN2","B","DRO_Rockinghamia_angustifolia_1CN2_Blue_B","DRO_Rockinghamia_angustifolia_1CN2_B",980.25182,NA,18.67751,NA,0.019053788,0,0.047705451,NA,"DB",0.019053788
"SP1","Pometia_pinnata","KAK","KAK_Pometia_pinnata_4CN2_White","KAK_Pometia_pinnata_4CN2","B","KAK_Pometia_pinnata_4CN2_White_B","KAK_Pometia_pinnata_4CN2_B",1207.63504,NA,89.64428,NA,0.074231268,0,0.047065363,NA,"DB",0.074231268
"SP1","Cryptocarya_sp. ","DRO","DRO_Cryptocarya_sp. _3CN2_Red","DRO_Cryptocarya_sp. _3CN2","D","DRO_Cryptocarya_sp. _3CN2_Red_D","DRO_Cryptocarya_sp. _3CN2_D",327.865,NA,6.479,NA,0.019761182,0,0.046474626,NA,"DB",0.019761182
"SP4","Haplostichanthus_ramiflorus","DRO","DRO_Haplostichanthus_ramiflorus_5CN2_Blue","DRO_Haplostichanthus_ramiflorus_5CN2","B","DRO_Haplostichanthus_ramiflorus_5CN2_Blue_B","DRO_Haplostichanthus_ramiflorus_5CN2_B",910.82235,NA,10.5164,NA,0.01154605,0,0.046005547,NA,"DB",0.01154605
"SP6","Rockinghamia_angustifolia","DRO","DRO_Rockinghamia_angustifolia_2CN2_Red","DRO_Rockinghamia_angustifolia_2CN2","B","DRO_Rockinghamia_angustifolia_2CN2_Red_B","DRO_Rockinghamia_angustifolia_2CN2_B",1095.26092,NA,25.89632,NA,0.023643973,0,0.043622891,NA,"DB",0.023643973
